sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
MH02-XL-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts",base,"Teton Pullover Hoodie-XL-Black","<p>This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.</p>
<p>&bull; Black pullover hoodie.<br />&bull; Soft, brushed interior. <br />&bull; Front hand pockets. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",70.000000,,,,teton-pullover-hoodie-xl-black,,,,/m/h/mh02-black_main_1.jpg,,/m/h/mh02-black_main_1.jpg,,/m/h/mh02-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=XL",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/m/h/mh02-black_main_1.jpg,/m/h/mh02-black_alt1_1.jpg,/m/h/mh02-black_back_1.jpg",",,",,,,,,,,,,,,,
MH03-XS-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category",base,"Bruno Compete Hoodie-XS-Black","<p>Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.</p>
<p>&bull; Full zip black hoodie pullover. <br />&bull; Adjustable drawstring hood. <br />&bull; Ribbed cuffs/waistband. <br />&bull; Kangaroo pocket. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",63.000000,,,,bruno-compete-hoodie-xs-black,,,,/m/h/mh03-black_main_1.jpg,,/m/h/mh03-black_main_1.jpg,,/m/h/mh03-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=XS",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/m/h/mh03-black_main_1.jpg,/m/h/mh03-black_alt1_1.jpg,/m/h/mh03-black_back_1.jpg",",,",,,,,,,,,,,,,
MH03-S-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category",base,"Bruno Compete Hoodie-S-Black","<p>Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.</p>
<p>&bull; Full zip black hoodie pullover. <br />&bull; Adjustable drawstring hood. <br />&bull; Ribbed cuffs/waistband. <br />&bull; Kangaroo pocket. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",63.000000,,,,bruno-compete-hoodie-s-black,,,,/m/h/mh03-black_main_1.jpg,,/m/h/mh03-black_main_1.jpg,,/m/h/mh03-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=S",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/m/h/mh03-black_main_1.jpg,/m/h/mh03-black_alt1_1.jpg,/m/h/mh03-black_back_1.jpg",",,",,,,,,,,,,,,,
MH03-M-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category",base,"Bruno Compete Hoodie-M-Black","<p>Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.</p>
<p>&bull; Full zip black hoodie pullover. <br />&bull; Adjustable drawstring hood. <br />&bull; Ribbed cuffs/waistband. <br />&bull; Kangaroo pocket. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",63.000000,,,,bruno-compete-hoodie-m-black,,,,/m/h/mh03-black_main_1.jpg,,/m/h/mh03-black_main_1.jpg,,/m/h/mh03-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=M",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/m/h/mh03-black_main_1.jpg,/m/h/mh03-black_alt1_1.jpg,/m/h/mh03-black_back_1.jpg",",,",,,,,,,,,,,,,
MH03-L-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category",base,"Bruno Compete Hoodie-L-Black","<p>Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.</p>
<p>&bull; Full zip black hoodie pullover. <br />&bull; Adjustable drawstring hood. <br />&bull; Ribbed cuffs/waistband. <br />&bull; Kangaroo pocket. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",63.000000,,,,bruno-compete-hoodie-l-black,,,,/m/h/mh03-black_main_1.jpg,,/m/h/mh03-black_main_1.jpg,,/m/h/mh03-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=L",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/m/h/mh03-black_main_1.jpg,/m/h/mh03-black_alt1_1.jpg,/m/h/mh03-black_back_1.jpg",",,",,,,,,,,,,,,,
MH03-XL-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts,Default Category/Collections/Eco Friendly,Default Category",base,"Bruno Compete Hoodie-XL-Black","<p>Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.</p>
<p>&bull; Full zip black hoodie pullover. <br />&bull; Adjustable drawstring hood. <br />&bull; Ribbed cuffs/waistband. <br />&bull; Kangaroo pocket. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",63.000000,,,,bruno-compete-hoodie-xl-black,,,,/m/h/mh03-black_main_1.jpg,,/m/h/mh03-black_main_1.jpg,,/m/h/mh03-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=XL",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,"/m/h/mh03-black_main_1.jpg,/m/h/mh03-black_alt1_1.jpg,/m/h/mh03-black_back_1.jpg",",,",,,,,,,,,,,,,
MH06-XS-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts",base,"Stark Fundamental Hoodie-XS-Black","<p>You don't need bells and whistles when performance speaks for itself. The full-zip Stark Fundamental Hoodie give just what you need. Hood and fleece lining keep you warm, while breathable fabric and wicking technology won't let you overheat.</p>
<p>&bull; Navy specked full zip hoodie.<br />&bull; Ribbed cuffs, banded waist.<br />&bull; Side pockets. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",42.000000,,,,stark-fundamental-hoodie-xs-black,,,,/m/h/mh06-black_main_1.jpg,,/m/h/mh06-black_main_1.jpg,,/m/h/mh06-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=XS",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,/m/h/mh06-black_main_1.jpg,,,,,,,,,,,,,,
MH06-S-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts",base,"Stark Fundamental Hoodie-S-Black","<p>You don't need bells and whistles when performance speaks for itself. The full-zip Stark Fundamental Hoodie give just what you need. Hood and fleece lining keep you warm, while breathable fabric and wicking technology won't let you overheat.</p>
<p>&bull; Navy specked full zip hoodie.<br />&bull; Ribbed cuffs, banded waist.<br />&bull; Side pockets. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",42.000000,,,,stark-fundamental-hoodie-s-black,,,,/m/h/mh06-black_main_1.jpg,,/m/h/mh06-black_main_1.jpg,,/m/h/mh06-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=S",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,/m/h/mh06-black_main_1.jpg,,,,,,,,,,,,,,
MH06-M-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts",base,"Stark Fundamental Hoodie-M-Black","<p>You don't need bells and whistles when performance speaks for itself. The full-zip Stark Fundamental Hoodie give just what you need. Hood and fleece lining keep you warm, while breathable fabric and wicking technology won't let you overheat.</p>
<p>&bull; Navy specked full zip hoodie.<br />&bull; Ribbed cuffs, banded waist.<br />&bull; Side pockets. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",42.000000,,,,stark-fundamental-hoodie-m-black,,,,/m/h/mh06-black_main_1.jpg,,/m/h/mh06-black_main_1.jpg,,/m/h/mh06-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=M",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,/m/h/mh06-black_main_1.jpg,,,,,,,,,,,,,,
MH06-L-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts",base,"Stark Fundamental Hoodie-L-Black","<p>You don't need bells and whistles when performance speaks for itself. The full-zip Stark Fundamental Hoodie give just what you need. Hood and fleece lining keep you warm, while breathable fabric and wicking technology won't let you overheat.</p>
<p>&bull; Navy specked full zip hoodie.<br />&bull; Ribbed cuffs, banded waist.<br />&bull; Side pockets. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",42.000000,,,,stark-fundamental-hoodie-l-black,,,,/m/h/mh06-black_main_1.jpg,,/m/h/mh06-black_main_1.jpg,,/m/h/mh06-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=L",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,/m/h/mh06-black_main_1.jpg,,,,,,,,,,,,,,
MH06-XL-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts",base,"Stark Fundamental Hoodie-XL-Black","<p>You don't need bells and whistles when performance speaks for itself. The full-zip Stark Fundamental Hoodie give just what you need. Hood and fleece lining keep you warm, while breathable fabric and wicking technology won't let you overheat.</p>
<p>&bull; Navy specked full zip hoodie.<br />&bull; Ribbed cuffs, banded waist.<br />&bull; Side pockets. <br />&bull; Machine wash/dry.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",42.000000,,,,stark-fundamental-hoodie-xl-black,,,,/m/h/mh06-black_main_1.jpg,,/m/h/mh06-black_main_1.jpg,,/m/h/mh06-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=XL",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,/m/h/mh06-black_main_1.jpg,,,,,,,,,,,,,,
MH07-XS-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts",base,"Hero Hoodie-XS-Black","<p>Gray and black color blocking sets you apart as the Hero Hoodie keeps you warm on the bus, campus or cold mean streets. Slanted outsize front pockets keep your style real . . . convenient.</p>
<p>&bull; Full-zip gray and black hoodie.<br />&bull; Ribbed hem.<br />&bull; Standard fit.<br />&bull; Drawcord hood cinch.<br />&bull; Water-resistant coating.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",54.000000,,,,hero-hoodie-xs-black,,,,/m/h/mh07-black_main_1.jpg,,/m/h/mh07-black_main_1.jpg,,/m/h/mh07-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=XS",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,/m/h/mh07-black_main_1.jpg,,,,,,,,,,,,,,
MH07-S-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts",base,"Hero Hoodie-S-Black","<p>Gray and black color blocking sets you apart as the Hero Hoodie keeps you warm on the bus, campus or cold mean streets. Slanted outsize front pockets keep your style real . . . convenient.</p>
<p>&bull; Full-zip gray and black hoodie.<br />&bull; Ribbed hem.<br />&bull; Standard fit.<br />&bull; Drawcord hood cinch.<br />&bull; Water-resistant coating.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",54.000000,,,,hero-hoodie-s-black,,,,/m/h/mh07-black_main_1.jpg,,/m/h/mh07-black_main_1.jpg,,/m/h/mh07-black_main_1.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=S",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,/m/h/mh07-black_main_1.jpg,,,,,,,,,,,,,,
MH07-M-Black,,Top,simple,"Default Category/Men/Tops/Hoodies & Sweatshirts",base,"Hero Hoodie-M-Black","<p>Gray and black color blocking sets you apart as the Hero Hoodie keeps you warm on the bus, campus or cold mean streets. Slanted outsize front pockets keep your style real . . . convenient.</p>
<p>&bull; Full-zip gray and black hoodie.<br />&bull; Ribbed hem.<br />&bull; Standard fit.<br />&bull; Drawcord hood cinch.<br />&bull; Water-resistant coating.</p>",,1.000000,1,"Taxable Goods","Not Visible Individually",54.000000,,,,hero-hoodie-m-black,,,,/m/h/mh07-black_main_2.jpg,,/m/h/mh07-black_main_2.jpg,,/m/h/mh07-black_main_2.jpg,,,,"10/6/23, 4:25 AM","10/6/23, 4:25 AM",,,"Block after Info Column",,,,,,,,,,,"Use config",,"color=Black,size=M",100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,/m/h/mh07-black_main_2.jpg,,,,,,,,,,,,,,
